"","Label","Time","Time_Flux"
"1471","S2P4.C2","time",1.15398
"1472","S2P4.C2","Flux",0.000164
"1473","S2P6.C2","time",1.23044
"1474","S2P6.C2","Flux",-0.00648
"1475","S3P2.C2","time",1.15322
"1476","S3P2.C2","Flux",0.0084
"1477","S3P4.C2","time",1.14369
"1478","S3P4.C2","Flux",0.00534
"1479","S3P6.C2","time",1.26763
"1480","S3P6.C2","Flux",0.01452
"1481","S1P1.C1","time",1.13878
"1482","S1P3.C1","time",1.13851
"1483","S1P3.C1","Flux",0.01574
"1484","S1P5.C1","time",-0.92795
"1485","S1P5.C1","Flux",-0.00743
"1486","S2P1.C1","time",1.09672
"1487","S2P1.C1","Flux",-0.00221
"1488","S2P3.C1","time",1.2278
"1489","S2P3.C1","Flux",-0.000118
"1490","S2P7.C1","time",0.81517
"1491","S2P7.C1","Flux",0.00998
"1492","S3P1.C1","time",1.08296
"1493","S3P1.C1","Flux",-0.01196
"1494","S3P3.C1","time",1.20686
"1495","S3P3.C1","Flux",0.000353
"1496","S3P5.C1","time",1.18507
